,NOMBRE,EQUIPO,BLOQ,INTER,R,D,EE,EF,JUH,DE,DF,DAE,DAF
,ABDE EZZALZOULI,REAL BETIS,3,4,56,2,14,5,0,88,91,13,21
,ABDE REBBACH,DEPORTIVO ALAVÉS,0,0,16,5,2,1,0,12,30,2,8
,ABDEL ABQAR,DEPORTIVO ALAVÉS,8,23,34,55,13,6,0,45,53,14,16
,ABDOULAYE KEITA,GETAFE CF,0,0,1,0,0,0,0,1,3,1,1
,ABDUL MUMIN,RAYO VALLECANO,13,15,48,67,8,4,0,35,41,17,17
,ABDÓN PRATS,RCD MALLORCA,0,0,10,3,1,0,0,20,26,11,16
,ABEL BRETONES,CA OSASUNA,2,10,46,25,16,6,0,49,36,10,6
,ABEL RUIZ,GIRONA FC,1,2,15,3,0,2,0,19,39,5,13
,ABOUBACAR BASSINGA,CD MIRANDÉS,0,0,0,0,0,0,0,0,2,0,0
,ADAMA BOIRO,ATHLETIC CLUB,3,5,12,11,4,4,0,21,18,6,3
,ADNAN JANUZAJ,UD LAS PALMAS,0,0,11,1,2,1,0,14,20,1,5
,ADRI EMBARBA,RAYO VALLECANO,1,5,26,4,5,9,0,38,51,7,12
,ADRIÀ ALTI,CD LEGANÉS,4,12,26,17,6,9,0,40,32,9,9
,ADRIÀ PEDROSA,SEVILLA FC,4,9,45,31,21,10,0,52,68,5,21
,ADRIÁN SAN MIGUEL DEL CASTILLO,REAL BETIS,0,0,0,0,0,0,0,0,0,0,0
,ADRIÁN HERNÁNDEZ HERNÁNDEZ,DEPORTIVO ALAVÉS,5,7,9,17,6,1,0,22,18,13,9
,ADRIÁN RODRÍGUEZ,DEPORTIVO ALAVÉS,0,0,0,0,0,0,0,0,0,0,0
,MALCOM ABDULAI ARES DJALÓ,REAL ZARAGOZA,0,0,1,0,0,0,0,0,4,0,0
,AIHEN MUÑOZ,REAL SOCIEDAD,1,6,11,14,3,1,0,15,22,5,10
